epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202046,2020-11-14,223,BA,Campo Formoso,2906006,city,1132,1583.50469,2,13,0,0.0115,71487,False,False
202046,2020-11-14,160,BA,Canápolis,2906105,city,97,999.69082,0,1,0,0.0103,9703,False,False
202046,2020-11-14,235,BA,Canarana,2906204,city,361,1371.32004,5,3,0,0.0083,26325,False,False
202046,2020-11-14,216,BA,Canavieiras,2906303,city,340,1100.11001,2,19,1,0.0559,30906,False,False
202046,2020-11-14,166,BA,Candeal,2906402,city,169,2065.76213,0,0,0,0.0,8181,False,False
202046,2020-11-14,229,BA,Candeias,2906501,city,2729,3120.35491,8,63,0,0.0231,87458,False,False
202046,2020-11-14,169,BA,Candiba,2906600,city,47,327.11581,1,1,0,0.0213,14368,False,False
202046,2020-11-14,176,BA,Cândido Sales,2906709,city,851,3396.79879,4,20,0,0.0235,25053,False,False
202046,2020-11-14,219,BA,Cansanção,2906808,city,240,688.03394,0,8,0,0.0333,34882,False,False
202046,2020-11-14,170,BA,Canudos,2906824,city,163,972.96007,5,5,0,0.0307,16753,False,False
202046,2020-11-14,189,BA,Capela do Alto Alegre,2906857,city,243,2091.94215,0,4,0,0.0165,11616,False,False
202046,2020-11-14,218,BA,Capim Grosso,2906873,city,1195,3872.07569,10,10,0,0.0084,30862,False,False
202046,2020-11-14,173,BA,Caraíbas,2906899,city,27,306.78332,0,0,0,0.0,8801,False,False
202046,2020-11-14,165,BA,Caravelas,2906907,city,444,2009.68633,0,4,0,0.009,22093,False,False
202046,2020-11-14,181,BA,Cardeal da Silva,2907004,city,86,920.17976,0,1,0,0.0116,9346,False,False
202046,2020-11-14,163,BA,Carinhanha,2907103,city,184,632.95494,0,4,0,0.0217,29070,False,False
202046,2020-11-14,170,BA,Casa Nova,2907202,city,712,981.45978,8,11,0,0.0154,72545,False,False
202046,2020-11-14,211,BA,Castro Alves,2907301,city,605,2298.8069,8,14,0,0.0231,26318,False,False
202046,2020-11-14,160,BA,Catolândia,2907400,city,51,1417.06029,0,0,0,0.0,3599,False,False
202046,2020-11-14,229,BA,Catu,2907509,city,1829,3327.26942,2,28,0,0.0153,54970,False,False
202046,2020-11-14,160,BA,Caturama,2907558,city,8,85.87377,0,0,0,0.0,9316,False,False
202046,2020-11-14,169,BA,Central,2907608,city,90,520.83333,0,2,0,0.0222,17280,False,False
202046,2020-11-14,163,BA,Chorrochó,2907707,city,39,348.21429,0,3,0,0.0769,11200,False,False
202046,2020-11-14,171,BA,Cícero Dantas,2907806,city,726,2228.63458,1,11,0,0.0152,32576,False,False
202046,2020-11-14,175,BA,Cipó,2907905,city,219,1262.10235,2,0,0,0.0,17352,False,False
202046,2020-11-14,229,BA,Coaraci,2908002,city,937,5661.97353,1,26,0,0.0277,16549,False,False
202046,2020-11-14,180,BA,Cocos,2908101,city,128,680.59765,0,3,0,0.0234,18807,False,False
202046,2020-11-14,185,BA,Conceição da Feira,2908200,city,618,2715.0514,1,8,0,0.0129,22762,False,False
202046,2020-11-14,184,BA,Conceição do Almeida,2908309,city,638,3716.86572,3,7,0,0.011,17165,False,False
202046,2020-11-14,221,BA,Conceição do Coité,2908408,city,3747,5591.4524,30,8,1,0.0021,67013,False,False
202046,2020-11-14,238,BA,Conceição do Jacuípe,2908507,city,744,2227.6783,0,3,0,0.004,33398,False,False
202046,2020-11-14,236,BA,Conde,2908606,city,387,1486.46053,1,8,0,0.0207,26035,False,False
202046,2020-11-14,180,BA,Condeúba,2908705,city,104,605.42554,0,4,0,0.0385,17178,False,False
202046,2020-11-14,160,BA,Contendas do Sincorá,2908804,city,35,865.26576,0,0,0,0.0,4045,False,False
202046,2020-11-14,211,BA,Coração de Maria,2908903,city,547,2431.65148,20,4,0,0.0073,22495,False,False
202046,2020-11-14,160,BA,Cordeiros,2909000,city,64,740.56931,2,1,0,0.0156,8642,False,False
202046,2020-11-14,160,BA,Coribe,2909109,city,227,1604.35366,1,5,1,0.022,14149,False,False
202046,2020-11-14,172,BA,Coronel João Sá,2909208,city,251,1596.99688,0,3,0,0.012,15717,False,False
202046,2020-11-14,166,BA,Correntina,2909307,city,567,1761.36187,18,2,0,0.0035,32191,False,False
202046,2020-11-14,160,BA,Cotegipe,2909406,city,100,726.26916,0,6,0,0.06,13769,False,False
202046,2020-11-14,208,BA,Cravolândia,2909505,city,17,317.69763,0,0,0,0.0,5351,False,False
202046,2020-11-14,173,BA,Crisópolis,2909604,city,193,911.969,0,1,0,0.0052,21163,False,False
202046,2020-11-14,184,BA,Cristópolis,2909703,city,199,1426.83014,2,1,0,0.005,13947,False,False
202046,2020-11-14,205,BA,Cruz das Almas,2909802,city,870,1368.11813,3,19,0,0.0218,63591,False,False
